S_ID,station_no,Store_type,Location_ID,name_tw,district_tw,address_tw,lat,lng,Section
30166,"""501314004""",3,300166,"""安平區公所""",台南市安平區,"""育平路與育平八街(東南側人行道)""","""22.99437""","""120.16768""",5.0
30167,"""501314005""",3,300167,"""運河公園""",台南市安平區,"""建平十七街及華平路口""","""22.99737""","""120.17677""",5.0
30168,"""501314006""",3,300168,"""臺南市政府(永華中心)""",台南市安平區,"""府前路二段與府前四街(西南側人行道)""","""22.99301""","""120.18457""",5.0
30169,"""501314007""",3,300169,"""臺南市議會""",台南市安平區,"""永華路二段/中華西路二段口(東北側)""","""22.98923""","""120.18674""",5.0
30170,"""501314008""",3,300170,"""林默娘公園""",台南市安平區,"""安億路(林默娘公園停車場旁)""","""22.99291""","""120.15681""",5.0
30171,"""501314009""",3,300171,"""億載金城""",台南市安平區,"""光州路與光州五街路口(億載金城侯車亭旁)""","""22.98877""","""120.16009""",5.0
30172,"""501314010""",3,300172,"""漁光島""",台南市安平區,"""健康路三段/漁光路(西南側)""","""22.98143""","""120.15642""",5.0
30173,"""501314011""",3,300173,"""西門實小""",台南市安平區,"""古堡街87號旁""","""23.00301""","""120.16089""",5.0
30174,"""501314012""",3,300174,"""臺南地政事務所""",台南市安平區,"""建平路321號對側公園""","""22.99055""","""120.18283""",5.0
30175,"""501314013""",3,300175,"""漁光島停車場""",台南市安平區,"""漁光路停車場(對側人行道)""","""22.98634""","""120.15221""",5.0
30176,"""501314014""",3,300176,"""億載公園""",台南市安平區,"""光州永華路二段停車場""","""22.99138""","""120.15929""",5.0
30177,"""501314018""",3,300177,"""安平中華西""",台南市安平區,"""安平路70號(對側人行道)""","""22.99801""","""120.18482""",5.0
30178,"""501314019""",3,300178,"""永華文平""",台南市安平區,"""永華路二段399號前""","""22.98996""","""120.17875""",5.0
30179,"""501314020""",3,300179,"""金城國中""",台南市安平區,"""怡平路140巷口""","""22.99328""","""120.17961""",5.0
30180,"""501314021""",3,300180,"""怡平公園""",台南市安平區,"""平通路/永華六街口(西南側)""","""22.99286""","""120.17670""",5.0
30181,"""501314022""",3,300181,"""永華國平""",台南市安平區,"""永華路二段/國平路口(西南側)""","""22.99101""","""120.17097""",5.0
30182,"""501314023""",3,300182,"""健康國平西""",台南市安平區,"""健康路三段326號對側""","""22.98430""","""120.16984""",5.0
30183,"""501314024""",3,300183,"""台南大員皇冠假日酒店""",台南市安平區,"""安北路/州平二街口(西北側)""","""22.99879""","""120.15029""",5.0
